instance,variant,V_mean,V_std,V_best,placed_mean,placed_std,time_mean,time_std,evalsps_mean
syn_000,A1,0.7807703079858144,0.012122427847592068,0.7922279761744143,51.2,4.32434966208793,311.43626990318296,473.8726941119054,2.818262879785861
syn_000,A2,0.7696389636104265,0.01141702506093715,0.7835063287727876,52.0,3.1622776601683795,100.33010673522949,2.4106725524692365,2.8186687122839658
syn_000,A3,0.7603280132288175,0.016181453256946567,0.7868277094073193,55.8,4.919349550499537,99.97758374214172,6.270934762001096,2.820346793761927
syn_000,GA,0.7563173883608729,0.010151540230988737,0.7648438027448964,49.8,2.8635642126552705,66.92743391990662,2.884068314691563,0.8978455663949164
syn_000,H0,0.8705194458098864,0.05693172924208692,0.9373122024326637,20.4,1.8165902124584947,30.566073751449586,0.44028667901384966,0.9422842084381925
syn_000,PSO,0.7636004772738902,0.02188861284441435,0.7851489478979056,51.8,9.257429448826493,69.46935606002808,4.68980824175566,0.8811677095778713
syn_000,RS,0.7594887472466844,0.0154754483223562,0.7851327537737152,52.4,3.4351128074635335,34.83083200454712,0.7512748192945249,0.9190792596983496
syn_000,SA,0.724497575111101,0.012561422926792824,0.743732006559163,55.0,5.244044240850758,30.81482939720154,0.29246157309283627,0.8497760882309053
syn_001,A1,0.7570270222191914,0.004984978300763491,0.7642976948579068,49.2,4.764451699828638,411.6992729663849,716.124833400803,2.365461415979752
syn_001,A2,0.776542919812482,0.015198744554364832,0.7993443514560532,47.8,6.058052492344385,93.237766456604,2.736313051522313,2.9256977608305985
syn_001,A3,0.7761574935520492,0.008872200881839043,0.7870512477126425,53.4,6.228964600958975,93.38160653114319,2.8767428227181724,2.881594369035444
syn_001,GA,0.7665679891469507,0.01240484090949968,0.7847201197950626,47.0,5.70087712549569,65.27575407028198,8.421526551784883,0.9304431494814907
syn_001,H0,0.8673619177242173,0.013208655140487347,0.8865983510598461,20.2,0.8366600265340757,30.786547660827637,0.41328568440538394,0.9485384821531714
syn_001,PSO,0.7547886477874618,0.015887960849633464,0.7734889375588875,50.4,3.209361307176242,64.69823279380799,4.619235435256661,0.94654614639616
syn_001,RS,0.7662208606629269,0.03560901059428502,0.8128837179740205,54.0,6.6332495807108,32.295859241485594,1.7490662995117663,0.993217570545054
syn_001,SA,0.684089754746345,0.03294424739197343,0.7356550000068895,55.4,2.5099800796022267,30.594234228134155,0.2940805361353033,1.040420456662452
syn_002,A1,0.7618839552404049,0.012885629944879797,0.7749979558478317,53.6,4.39317652729776,113.61978249549865,9.527230454898922,2.697352674460025
syn_002,A2,0.7585920434070295,0.017653874461738696,0.7860315039109316,51.6,8.142481194328914,112.4692452430725,5.600536264562159,2.681265295164395
syn_002,A3,0.7679622381191853,0.021293058831585672,0.8012405803232883,51.8,3.3466401061363023,109.03405079841613,6.083516224642918,2.702763138676149
syn_002,GA,0.7695587381157943,0.020878856699164543,0.7954527560767338,55.0,2.4494897427831783,82.66196541786194,3.2409356654261368,0.7267348874827204
