instance,variant,V_mean,V_std,V_best,placed_mean,placed_std,time_mean,time_std,evalsps_mean
syn_000,A1,0.6711074840949749,,0.6711074840949749,43.0,,3.398519277572632,,27.03145385039254
syn_000,A2,0.6856475580857041,,0.6856475580857041,41.0,,3.312051773071289,,30.099579670711034
syn_000,A3,0.6682852880392739,,0.6682852880392739,40.0,,3.2999582290649414,,29.108663886618448
syn_000,GA,0.6670920254735301,,0.6670920254735301,44.0,,2.411548137664795,,8.294031162652276
syn_000,H0,0.6535185711951026,,0.6535185711951026,38.0,,1.0450680255889893,,11.48320297180034
syn_000,PSO,0.6586465976082981,,0.6586465976082981,35.0,,2.4393813610076904,,8.60934252297794
syn_000,RS,0.6769692142913947,,0.6769692142913947,43.0,,3.6598052978515625,,8.744012201432565
syn_000,SA,0.669351404790367,,0.669351404790367,41.0,,1.0465734004974365,,9.55657863737714
